0,1,2,3
Empire Restaurant,Empire Spl Chicken Kebab,₹100,"Empire classic batter fried Kebab, Signature dish that's not to be missed"
Empire Restaurant,Tandoori Chicken,₹130,Clay pot oven grilled chicken with a smoky flavor.
Empire Restaurant,Chicken Fried Rice,₹155,Indo chinese rice with chicken
Empire Restaurant,Non Veg Meal With Starter,₹190,Choice of any non-veg Starter + non-veg gravy + Bread / Rice
Empire Restaurant,Jeera Rice,₹134,Fresh coocked rice with jeera of cumin seeds
Empire Restaurant,Non Veg Meal,₹170,Choice of any non-veg gravy + Bread / Rice
Empire Restaurant,Chicken Kebab Boneless,₹135,"Empire classic batter fried Kebab, Signature dish that's not to be missed"
Empire Restaurant,Veg Fried Rice,₹135,"Indo chinese rice with cabbage,beans and carrot"
Empire Restaurant,Egg Fried Rice,₹145,Indo chinese rice with egg
Empire Restaurant,Egg Masala,₹115,Egg's in Empire's Classic Masala Gravy
Empire Restaurant,Chilly Chicken Boneless,₹140,Indo chinese prepration with batter fried chicken in Empire special masala
Empire Restaurant,Veg Combo With Starter,₹190,Choice of any veg starter + veg gravy + Bread / Rice
Empire Restaurant,Hyderabadi Chicken Gravy,₹140,Empire's version of this Nawabi favorite
Empire Restaurant,Paneer Chilly Dry,₹100,Fried Chillies and cottage cheese for spicy starter
Empire Restaurant,Chicken Masala,₹140,Chicken cooked in empires classic masala gravy.
Empire Restaurant,Pepper Chicken Dry,₹130,Goodness of pepper in chicken starter
Empire Restaurant,Lemon Rice,₹134,Tangy local special cooked with Fresh rice
Empire Restaurant,Roti Sabzi,₹140,Choice of any veg gravy + Bread
Empire Restaurant,Chicken Manchurian Boneless,₹145,Indo chinese prepration with Empire special Manchurian sauces
Empire Restaurant,Gudbud,₹142.86,
Empire Restaurant,Chicken Varval,₹140,Empire special recipe with spices and coconut milk.
Empire Restaurant,Kadai Chicken Gravy,₹140,"Spicy gravy with capsicum,onion and mild flaver of corriander seeds"
Empire Restaurant,Hyderabadi Chicken Boneless Gravy,₹150,Empire's version of this Nawabi favorite
Empire Restaurant,Chicken Manchurian Boneless,₹145,Indo chinese prepration with Empire special Manchurian sauces
Empire Restaurant,Chilly Chicken Boneless,₹140,Indo chinese prepration with batter fried chicken in Empire special masala
Empire Restaurant,Pepper Chicken Dry,₹130,Goodness of pepper in chicken starter
Empire Restaurant,Chicken Kebab Boneless,₹135,"Empire classic batter fried Kebab, Signature dish that's not to be missed"
Empire Restaurant,Empire Spl Chicken Kebab,₹100,"Empire classic batter fried Kebab, Signature dish that's not to be missed"
Empire Restaurant,Non Veg Meal,₹170,Choice of any non-veg gravy + Bread / Rice
Empire Restaurant,Non Veg Meal With Starter,₹190,Choice of any non-veg Starter + non-veg gravy + Bread / Rice
Empire Restaurant,Veg Combo With Starter,₹190,Choice of any veg starter + veg gravy + Bread / Rice
Empire Restaurant,Roti Sabzi,₹140,Choice of any veg gravy + Bread
Empire Restaurant,Egg Combo,₹140,Choice of any Bread/Rice + Egg masala
Empire Restaurant,Chicken Masala,₹140,Chicken cooked in empires classic masala gravy.
Empire Restaurant,Chicken Varval,₹140,Empire special recipe with spices and coconut milk.
Empire Restaurant,Lemon Rice,₹134,Tangy local special cooked with Fresh rice
Empire Restaurant,Ghee Rice,₹98,Empire's signature and must have
